Date,Quality_grade,AQI,AQI_rank,PM
2018/1/1,良,55,42,35
2018/1/2,优,46,44,27
2018/1/3,优,29,21,10
2018/1/4,优,28,56,14
2018/1/5,良,51,127,30
2018/1/6,优,29,44,14
2018/1/7,良,56,170,37
2018/1/8,良,51,111,12
2018/1/9,优,37,28,6
2018/1/10,优,32,14,5
2018/1/11,优,30,5,10
2018/1/12,良,77,222,55
2018/1/13,轻度污染,130,291,98
2018/1/14,中度污染,177,327,136
2018/1/15,优,48,23,29
2018/1/16,轻度污染,114,205,45
2018/1/17,良,77,80,43
2018/1/18,良,87,119,56
2018/1/19,轻度污染,108,174,80
2018/1/20,良,61,84,30
2018/1/21,良,63,106,35
2018/1/22,优,45,53,23
2018/1/23,优,35,12,8
2018/1/24,优,36,18,15
2018/1/25,优,29,38,8
2018/1/26,优,39,81,24
2018/1/27,轻度污染,105,307,78
2018/1/28,良,56,139,13
2018/1/29,良,55,106,8
2018/1/30,优,36,13,10
2018/1/31,良,61,93,19
2018/2/1,良,67,72,30
2018/2/2,优,35,5,7
2018/2/3,优,28,1,7
2018/2/4,优,37,10,17
2018/2/5,优,32,6,6
2018/2/6,良,61,109,41
2018/2/7,良,63,79,32
2018/2/8,良,69,84,48
2018/2/9,良,90,125,41
2018/2/10,优,41,9,9
2018/2/11,良,64,103,8
2018/2/12,良,52,58,10
2018/2/13,良,80,210,55
2018/2/14,优,43,18,14
2018/2/15,良,62,102,37
2018/2/16,轻度污染,105,151,75
2018/2/17,轻度污染,105,233,78
2018/2/18,轻度污染,148,329,113
2018/2/19,中度污染,185,348,140
2018/2/20,良,72,230,47
2018/2/21,良,51,147,32
2018/2/22,优,44,108,15
2018/2/23,优,48,112,20
2018/2/24,良,63,203,30
2018/2/25,良,75,222,54
2018/2/26,中度污染,159,340,120
2018/2/27,重度污染,219,353,169
2018/2/28,轻度污染,133,312,92
2018/3/1,优,48,63,14
2018/3/2,良,99,318,73
2018/3/3,重度污染,217,357,167
2018/3/4,轻度污染,135,344,61
2018/3/5,良,92,345,47
2018/3/6,良,65,261,45
2018/3/7,良,64,238,44
2018/3/8,良,61,212,42
2018/3/9,轻度污染,136,344,101
2018/3/10,中度污染,165,343,123
2018/3/11,良,83,210,60
2018/3/12,中度污染,183,343,141
2018/3/13,严重污染,289,358,238
2018/3/14,严重污染,293,362,242
2018/3/15,良,69,189,26
2018/3/16,良,57,199,31
2018/3/17,良,82,294,58
2018/3/18,轻度污染,135,337,102
2018/3/19,轻度污染,101,289,73
2018/3/20,优,44,92,22
2018/3/21,良,78,298,56
2018/3/22,轻度污染,114,329,85
2018/3/23,轻度污染,146,332,110
2018/3/24,轻度污染,117,302,85
2018/3/25,良,76,159,53
2018/3/26,中度污染,155,348,117
2018/3/27,重度污染,245,363,194
2018/3/28,严重污染,388,361,154
2018/3/29,轻度污染,115,295,44
2018/3/30,良,68,139,39
2018/3/31,轻度污染,128,320,96
