Date,Quality_grade,AQI,AQI_rank,PM
2018/1/1,轻度污染,108,171,81
2018/1/2,轻度污染,122,268,92
2018/1/3,轻度污染,129,347,96
2018/1/4,良,96,326,69
2018/1/5,优,50,126,31
2018/1/6,优,29,46,18
2018/1/7,优,33,68,20
2018/1/8,优,30,40,17
2018/1/9,良,55,155,39
2018/1/10,优,43,81,26
2018/1/11,优,38,34,21
2018/1/12,优,40,9,21
2018/1/13,优,50,32,30
2018/1/14,良,77,111,55
2018/1/15,良,87,137,63
2018/1/16,轻度污染,122,228,91
2018/1/17,轻度污染,148,251,112
2018/1/18,中度污染,184,301,138
2018/1/19,中度污染,156,248,117
2018/1/20,中度污染,168,258,127
2018/1/21,轻度污染,141,254,106
2018/1/22,中度污染,158,323,119
2018/1/23,轻度污染,103,261,77
2018/1/24,轻度污染,104,318,78
2018/1/25,良,72,275,52
2018/1/26,良,57,198,36
2018/1/27,优,49,141,33
2018/1/28,优,40,68,25
2018/1/29,优,24,16,15
2018/1/30,优,42,28,29
2018/1/31,优,26,16,17
2018/2/1,良,70,84,50
2018/2/2,良,63,110,44
2018/2/3,良,58,115,40
2018/2/4,良,58,88,37
2018/2/5,优,42,30,26
2018/2/6,优,48,40,32
2018/2/7,良,59,68,41
2018/2/8,良,66,75,46
2018/2/9,良,80,95,58
2018/2/10,轻度污染,109,242,81
2018/2/11,良,79,166,58
2018/2/12,良,65,142,43
2018/2/13,良,68,134,44
2018/2/14,良,64,110,40
2018/2/15,良,64,116,43
2018/2/16,中度污染,174,279,136
2018/2/17,良,88,186,64
2018/2/18,良,58,153,41
2018/2/19,良,65,215,44
2018/2/20,良,54,127,37
2018/2/21,优,45,96,31
2018/2/22,优,18,9,8
2018/2/23,优,20,5,11
2018/2/24,优,43,64,30
2018/2/25,优,36,26,25
2018/2/26,优,37,31,25
2018/2/27,优,45,52,29
2018/2/28,良,51,100,35
2018/3/1,良,89,281,62
2018/3/2,良,66,182,46
2018/3/3,优,48,57,32
2018/3/4,优,40,32,26
2018/3/5,优,41,76,26
2018/3/6,优,49,163,31
2018/3/7,良,53,204,31
2018/3/8,优,16,1,9
2018/3/9,优,43,28,18
2018/3/10,良,59,60,36
2018/3/11,良,87,230,54
2018/3/12,良,67,117,43
2018/3/13,良,65,105,40
2018/3/14,良,53,70,34
2018/3/15,良,69,190,49
2018/3/16,轻度污染,112,329,83
2018/3/17,良,65,221,45
2018/3/18,良,53,145,32
2018/3/19,良,52,143,34
2018/3/20,优,28,16,11
2018/3/21,优,38,9,17
2018/3/22,优,50,29,31
2018/3/23,轻度污染,108,278,64
2018/3/24,良,73,134,49
2018/3/25,良,67,111,45
2018/3/26,良,87,202,63
2018/3/27,良,67,110,39
2018/3/28,轻度污染,122,318,77
2018/3/29,良,90,247,56
2018/3/30,良,87,244,64
2018/3/31,良,73,156,39
2018/4/1,良,88,188,44
2018/4/2,良,98,237,56
2018/4/3,良,81,196,50
2018/4/4,良,62,151,33
2018/4/5,优,48,70,25
2018/4/5,优,48,70,25
2018/4/6,优,43,27,19
2018/4/7,良,79,240,31
2018/4/8,良,77,191,41
2018/4/9,良,98,288,61
2018/4/10,良,67,71,37
2018/4/11,良,58,73,35
2018/4/12,优,45,38,24
2018/4/13,优,35,28,19
2018/4/14,优,35,37,19
2018/4/15,优,24,5,14
2018/4/16,良,58,69,29
2018/4/17,良,78,138,46
2018/4/18,轻度污染,132,340,95
2018/4/19,轻度污染,107,284,74
2018/4/20,良,81,216,55
2018/4/21,良,56,114,29
2018/4/22,良,55,201,32
2018/4/23,优,49,140,26
2018/4/24,优,40,74,24
2018/4/25,优,41,50,27
2018/4/26,良,81,219,59
2018/4/27,良,68,152,47
2018/4/28,良,63,95,43
2018/4/29,良,63,95,41
2018/4/30,良,56,123,36
2018/5/1,优,43,52,26
2018/5/2,优,50,82,27
2018/5/3,优,46,39,29
2018/5/4,优,48,55,31
2018/5/5,良,53,113,24
2018/5/6,优,41,76,21
2018/5/7,优,34,31,14
2018/5/8,优,33,13,19
2018/5/9,优,42,49,27
2018/5/10,优,46,59,25
2018/5/11,良,57,129,30
2018/5/12,良,57,115,31
2018/5/13,优,50,68,25
2018/5/14,优,49,62,23
2018/5/15,优,42,39,18
2018/5/16,优,37,26,18
2018/5/17,优,39,27,20
2018/5/18,良,58,127,23
2018/5/19,良,62,220,24
2018/5/20,优,48,137,19
2018/5/21,良,57,235,21
2018/5/22,良,64,265,23
2018/5/23,良,82,235,30
2018/5/24,良,68,155,27
2018/5/25,优,46,87,15
2018/5/26,优,40,57,18
2018/5/27,优,41,51,19
2018/5/28,良,74,150,24
2018/5/29,良,55,100,23
2018/5/30,良,59,143,27
2018/5/31,良,54,114,21
2018/6/1,良,52,98,31
2018/6/2,良,62,130,31
2018/6/3,良,61,109,29
2018/6/4,良,55,109,25
2018/6/5,优,33,21,19
2018/6/6,优,19,6,10
2018/6/7,优,16,2,6
2018/6/8,优,18,3,8
2018/6/9,优,23,4,13
2018/6/10,良,52,119,27
2018/6/11,良,86,291,32
2018/6/12,良,60,142,41
2018/6/13,优,31,23,19
2018/6/14,优,37,48,16
2018/6/15,优,32,19,17
2018/6/16,良,65,210,19
2018/6/17,良,86,290,35
2018/6/18,良,80,285,38
2018/6/19,优,35,43,16
2018/6/20,优,47,177,20
2018/6/21,优,47,155,24
2018/6/22,优,32,37,19
2018/6/23,优,30,50,16
2018/6/24,优,33,75,14
2018/6/25,优,22,16,11
2018/6/26,优,33,81,17
2018/6/27,良,55,242,21
2018/6/28,优,50,208,22
2018/6/29,良,56,183,23
2018/6/30,优,38,90,18
2018/7/1,优,41,124,19
2018/7/2,优,37,89,19
2018/7/3,优,42,156,20
2018/7/4,优,42,134,17
2018/7/5,优,42,149,17
2018/7/6,优,42,179,19
2018/7/7,优,32,96,16
2018/7/8,优,36,142,18
2018/7/9,优,32,118,14
2018/7/10,优,37,140,14
2018/7/11,良,86,358,35
2018/7/12,良,63,306,19
2018/7/13,优,27,47,14
2018/7/14,优,22,20,11
2018/7/15,优,25,33,11
2018/7/16,优,40,141,18
2018/7/17,良,58,254,30
2018/7/18,优,37,94,18
2018/7/19,优,35,82,15
2018/7/20,优,40,105,15
2018/7/21,良,70,275,27
2018/7/22,良,53,165,19
2018/7/23,优,35,64,17
2018/7/24,优,29,42,16
2018/7/25,优,42,120,22
2018/7/26,优,43,132,23
2018/7/27,优,43,139,19
2018/7/28,优,46,139,17
2018/7/29,优,39,76,17
2018/7/30,优,41,104,19
2018/7/31,优,41,102,20
2018/8/1,优,47,155,18
2018/8/2,优,40,109,24
2018/8/3,优,43,164,23
2018/8/4,良,76,314,34
2018/8/5,良,55,213,26
2018/8/6,良,57,207,25
2018/8/7,良,89,344,40
2018/8/8,良,57,227,22
2018/8/9,优,50,132,22
2018/8/10,优,31,25,15
2018/8/11,优,24,16,15
2018/8/12,优,34,49,17
2018/8/13,优,50,195,27
2018/8/14,优,33,101,15
2018/8/15,优,34,81,17
2018/8/16,优,33,58,16
2018/8/17,优,45,190,25
2018/8/18,良,57,298,32
2018/8/19,良,55,267,29
2018/8/20,良,63,295,39
2018/8/21,良,67,280,32
2018/8/22,良,60,241,23
2018/8/23,良,91,351,44
2018/8/25,良,74,250,32
2018/8/27,优,44,111,29
2018/8/29,优,35,88,15
2018/8/31,优,33,94,18
2018/9/2,优,29,59,18
2018/9/3,优,44,156,21
2018/9/4,优,47,194,22
2018/9/5,良,57,225,30
2018/9/6,良,65,269,29
2018/9/7,良,67,344,28
2018/9/8,优,41,132,23
2018/9/9,优,50,179,27
2018/9/10,优,45,125,26
2018/9/11,良,62,261,35
2018/9/12,优,50,178,32
2018/9/13,优,35,85,22
2018/9/14,优,47,159,27
2018/9/15,优,45,180,28
2018/9/16,优,28,56,11
2018/9/17,优,27,62,11
2018/9/18,优,30,107,14
2018/9/19,良,56,274,25
2018/9/20,良,78,343,40
2018/9/21,良,76,334,38
2018/9/22,良,79,340,42
2018/9/23,良,55,219,31
2018/9/24,优,41,146,25
2018/9/25,优,39,123,20
2018/9/26,良,64,327,30
2018/9/27,良,52,239,34
2018/9/28,优,40,104,26
2018/9/29,优,46,140,25
2018/9/30,良,59,214,33
2018/10/1,良,62,291,33
2018/10/2,良,66,271,31
2018/10/3,良,70,246,33
2018/10/4,良,69,217,33
2018/10/5,良,76,258,37
2018/10/6,良,68,204,33
2018/10/7,良,73,218,42
2018/10/8,轻度污染,105,338,68
2018/10/9,良,86,321,56
2018/10/10,良,75,352,55
2018/10/11,优,36,70,21
2018/10/12,优,48,105,32
2018/10/13,优,44,74,30
2018/10/14,良,62,235,40
2018/10/15,优,48,184,29
2018/10/16,优,25,33,15
2018/10/17,优,22,13,13
2018/10/18,优,32,37,21
2018/10/19,优,46,129,30
2018/10/20,良,62,246,43
2018/10/21,良,60,211,36
2018/10/22,良,52,169,32
2018/10/23,优,35,61,20
2018/10/24,优,46,98,28
2018/10/25,良,81,283,58
2018/10/26,良,72,291,50
2018/10/27,优,47,114,20
2018/10/28,良,56,160,24
2018/10/29,良,56,177,26
2018/10/30,良,56,147,27
2018/10/31,良,56,137,23
