Date,Quality_grade,AQI,AQI_rank,PM
2018/1/1,轻度污染,108,172,82
2018/1/2,优,43,40,27
2018/1/3,优,41,75,21
2018/1/4,优,28,51,8
2018/1/5,优,44,102,24
2018/1/6,良,82,206,60
2018/1/7,优,34,74,22
2018/1/8,轻度污染,123,324,92
2018/1/9,良,53,135,27
2018/1/10,良,61,210,33
2018/1/11,良,64,187,43
2018/1/12,优,49,57,31
2018/1/13,良,73,101,53
2018/1/14,优,48,28,31
2018/1/15,良,57,51,40
2018/1/16,良,95,149,70
2018/1/17,轻度污染,144,246,109
2018/1/18,轻度污染,109,175,81
2018/1/19,中度污染,166,257,126
2018/1/20,轻度污染,118,200,89
2018/1/21,良,61,101,41
2018/1/22,良,65,142,44
2018/1/23,轻度污染,114,288,86
2018/1/24,优,38,31,19
2018/1/25,优,29,39,11
2018/1/26,优,34,48,13
2018/1/27,优,29,17,16
2018/1/28,优,35,49,20
2018/1/29,轻度污染,125,292,94
2018/1/30,重度污染,234,352,183
2018/1/31,重度污染,228,349,177
2018/2/1,中度污染,168,334,128
2018/2/2,轻度污染,141,334,106
2018/2/3,优,46,39,31
2018/2/4,良,51,43,36
2018/2/5,良,74,226,54
2018/2/6,优,49,46,32
2018/2/7,优,44,19,26
2018/2/8,轻度污染,112,280,84
2018/2/9,良,87,119,63
2018/2/10,轻度污染,106,231,70
2018/2/11,良,93,233,41
2018/2/12,良,90,277,34
2018/2/13,良,57,69,32
2018/2/14,良,64,108,39
2018/2/15,良,59,88,36
2018/2/16,优,41,6,19
2018/2/17,良,59,96,39
2018/2/18,优,43,46,15
2018/2/19,优,45,75,20
2018/2/20,良,63,182,43
2018/2/21,良,54,177,34
2018/2/22,良,65,210,46
2018/2/23,良,70,232,49
2018/2/24,良,56,160,38
2018/2/25,良,52,93,33
2018/2/26,良,55,100,39
2018/2/27,良,63,154,38
2018/2/28,优,49,86,32
2018/3/1,良,96,300,69
2018/3/2,优,43,27,20
2018/3/3,优,47,51,30
2018/3/4,良,52,114,31
2018/3/5,优,44,110,20
2018/3/6,优,49,169,17
2018/3/7,优,38,81,20
2018/3/8,良,72,257,45
2018/3/9,良,58,127,40
2018/3/10,良,87,242,64
2018/3/11,良,89,236,64
2018/3/12,优,50,34,25
2018/3/13,优,48,35,25
2018/3/14,优,41,28,19
2018/3/15,良,63,160,44
2018/3/16,优,48,110,22
2018/3/17,优,44,39,17
2018/3/18,良,54,153,27
2018/3/19,优,42,66,29
2018/3/20,良,66,238,47
2018/3/21,优,40,19,27
2018/3/22,轻度污染,105,306,78
2018/3/23,轻度污染,121,307,91
2018/3/24,良,84,192,61
2018/3/25,良,100,251,73
2018/3/26,良,89,209,61
2018/3/27,良,89,221,61
2018/3/28,良,77,164,47
2018/3/29,优,47,38,25
2018/3/30,优,38,7,24
2018/3/31,良,52,50,31
2018/4/1,良,73,125,41
2018/4/2,良,85,193,48
2018/4/3,良,70,127,33
2018/4/4,优,50,72,29
2018/4/5,优,43,40,28
2018/4/5,优,43,40,28
2018/4/6,轻度污染,101,296,48
2018/4/7,良,65,139,23
2018/4/8,良,70,131,33
2018/4/9,良,76,143,40
2018/4/10,良,66,69,28
2018/4/11,轻度污染,104,261,57
2018/4/12,良,63,144,26
2018/4/13,良,53,156,18
2018/4/14,优,46,100,31
2018/4/15,良,92,258,56
2018/4/16,轻度污染,109,267,23
2018/4/17,良,61,57,33
2018/4/18,良,79,113,44
2018/4/19,良,73,106,37
2018/4/20,良,62,96,27
2018/4/21,良,59,151,28
2018/4/22,良,53,185,30
2018/4/23,良,54,198,33
2018/4/24,优,45,111,22
2018/4/25,良,85,278,51
2018/4/26,优,48,47,31
2018/4/27,轻度污染,116,339,75
2018/4/28,轻度污染,146,352,108
2018/4/29,轻度污染,140,335,88
2018/4/30,轻度污染,126,340,84
2018/5/1,良,75,237,48
2018/5/2,良,91,332,59
2018/5/3,良,72,242,31
2018/5/4,良,90,307,42
2018/5/5,良,62,191,24
2018/5/6,良,62,221,43
2018/5/7,优,46,96,30
2018/5/8,良,62,174,35
2018/5/9,良,66,172,32
2018/5/10,良,65,156,21
2018/5/11,良,63,177,21
2018/5/12,轻度污染,102,325,71
2018/5/13,轻度污染,115,344,82
2018/5/14,良,92,275,57
2018/5/15,良,96,310,53
2018/5/16,良,91,305,44
2018/5/17,良,81,313,40
2018/5/18,良,85,317,52
2018/5/19,优,49,101,31
2018/5/20,优,45,106,12
2018/5/21,优,44,97,20
2018/5/22,优,46,124,24
2018/5/23,良,81,228,34
2018/5/24,良,86,237,32
2018/5/25,良,52,113,24
2018/5/26,优,49,112,31
2018/5/27,良,55,110,37
2018/5/28,轻度污染,108,305,79
2018/5/29,轻度污染,146,359,110
2018/5/30,轻度污染,118,335,89
2018/5/31,良,86,269,52
2018/6/1,良,87,240,42
2018/6/2,良,72,187,34
2018/6/3,良,77,207,36
2018/6/4,良,63,160,39
2018/6/5,轻度污染,119,338,84
2018/6/6,轻度污染,110,313,57
2018/6/7,良,69,187,31
2018/6/8,优,48,133,26
2018/6/9,优,46,106,25
2018/6/10,良,64,226,44
2018/6/11,轻度污染,117,361,62
2018/6/12,轻度污染,129,363,66
2018/6/13,轻度污染,123,362,53
2018/6/14,良,76,245,31
2018/6/15,良,57,157,18
2018/6/16,良,52,112,24
2018/6/17,良,52,120,24
2018/6/18,优,49,111,21
2018/6/19,优,42,100,25
2018/6/20,优,43,129,14
2018/6/21,优,45,137,20
2018/6/22,优,42,121,26
2018/6/23,良,61,208,12
2018/6/24,良,55,185,21
2018/6/25,良,80,326,40
2018/6/26,良,87,344,43
2018/6/27,良,66,295,34
2018/6/28,良,56,247,33
2018/6/29,良,58,188,33
2018/6/30,优,33,46,20
2018/7/1,优,26,21,15
2018/7/2,优,29,30,14
2018/7/3,优,32,59,17
2018/7/4,良,59,236,39
2018/7/5,优,40,136,27
2018/7/6,优,30,68,16
2018/7/7,优,27,29,15
2018/7/8,良,59,296,27
2018/7/9,优,39,192,16
2018/7/10,优,29,66,11
2018/7/11,优,39,118,12
2018/7/12,优,30,57,10
2018/7/13,优,30,68,9
2018/7/14,优,32,87,10
2018/7/15,优,31,71,9
2018/7/16,优,26,44,8
2018/7/17,优,25,20,8
2018/7/18,优,25,23,9
2018/7/19,优,24,23,9
2018/7/20,优,39,94,24
2018/7/21,优,41,74,23
2018/7/22,优,21,4,10
2018/7/23,优,29,29,13
2018/7/24,良,66,291,28
2018/7/25,良,86,334,40
2018/7/26,良,68,277,38
2018/7/27,轻度污染,102,362,44
2018/7/28,良,96,349,48
2018/7/29,良,78,294,47
2018/7/30,良,65,250,37
2018/7/31,优,44,129,22
2018/8/1,优,46,138,17
2018/8/2,优,40,114,19
2018/8/3,优,38,112,11
2018/8/4,良,54,223,21
2018/8/5,良,54,192,20
2018/8/6,良,58,214,22
2018/8/7,优,37,73,16
2018/8/8,优,46,138,24
2018/8/9,良,54,166,23
2018/8/10,良,71,253,30
2018/8/11,良,61,182,23
2018/8/12,优,28,21,14
2018/8/13,优,30,55,10
2018/8/14,优,30,68,9
2018/8/15,优,30,50,14
2018/8/16,优,27,9,9
2018/8/17,优,33,68,10
2018/8/18,优,29,20,8
2018/8/19,优,26,34,7
