Date,Quality_grade,AQI,AQI_rank,PM
2018/1/1,良,95,133,71
2018/1/2,良,85,167,62
2018/1/3,良,58,175,34
2018/1/4,良,51,189,26
2018/1/5,良,52,135,31
2018/1/6,优,34,67,23
2018/1/7,优,19,8,9
2018/1/8,优,21,14,12
2018/1/9,良,51,120,35
2018/1/10,优,46,99,24
2018/1/11,优,42,58,19
2018/1/12,优,41,14,17
2018/1/13,良,53,44,28
2018/1/14,良,53,40,29
2018/1/15,良,60,66,39
2018/1/16,良,72,96,50
2018/1/17,轻度污染,126,219,93
2018/1/18,良,84,109,61
2018/1/19,良,73,85,52
2018/1/20,良,61,82,43
2018/1/21,良,73,138,52
2018/1/22,轻度污染,135,308,101
2018/1/23,良,91,232,67
2018/1/24,良,57,159,35
2018/1/25,优,44,141,25
2018/1/26,良,59,217,37
2018/1/27,良,56,177,33
2018/1/28,良,52,123,31
2018/1/29,优,23,15,14
2018/1/30,优,40,23,27
2018/1/31,优,25,13,17
2018/2/1,良,56,35,39
2018/2/2,良,61,100,43
2018/2/3,良,61,152,42
2018/2/4,良,72,223,51
2018/2/5,良,62,130,43
2018/2/6,良,53,65,34
2018/2/7,良,58,64,40
2018/2/8,良,55,26,36
2018/2/9,良,56,27,35
2018/2/10,良,75,144,54
2018/2/11,良,76,155,55
2018/2/12,良,61,110,40
2018/2/13,良,59,81,35
2018/2/14,良,56,68,28
2018/2/15,良,60,91,33
2018/2/16,良,79,87,57
2018/2/17,良,66,117,47
2018/2/18,优,50,94,29
2018/2/19,优,46,85,30
2018/2/20,优,39,34,26
2018/2/21,优,37,44,24
2018/2/22,优,21,17,11
2018/2/23,优,23,11,10
2018/2/24,优,43,65,27
2018/2/25,良,54,100,37
2018/2/26,优,28,9,17
2018/2/27,优,42,37,21
2018/2/28,优,44,59,25
2018/3/1,良,52,95,35
2018/3/2,优,50,69,30
2018/3/3,良,51,70,29
2018/3/4,优,40,33,27
2018/3/5,优,30,16,20
2018/3/6,优,40,84,22
2018/3/7,优,44,136,16
2018/3/8,优,20,9,11
2018/3/9,优,41,13,15
2018/3/10,良,56,46,28
2018/3/11,良,52,33,25
2018/3/12,优,46,22,23
2018/3/13,优,47,29,24
2018/3/14,优,40,18,23
2018/3/15,良,51,87,33
2018/3/16,良,62,224,44
2018/3/17,优,48,79,27
2018/3/18,优,46,92,21
2018/3/19,优,50,123,28
2018/3/20,优,37,57,21
2018/3/21,优,45,49,16
2018/3/22,优,50,31,26
2018/3/23,良,61,41,29
2018/3/24,良,66,87,34
2018/3/25,良,61,76,27
2018/3/26,良,66,98,41
2018/3/27,良,66,106,46
2018/3/28,良,64,91,42
2018/3/29,良,53,63,36
2018/3/30,良,54,56,32
2018/3/31,优,45,26,18
2018/4/1,良,51,33,27
2018/4/2,良,62,54,38
2018/4/3,良,55,60,34
2018/4/4,优,49,62,26
2018/4/5,优,41,31,21
2018/4/5,优,41,31,21
2018/4/6,优,45,35,20
2018/4/7,良,72,190,29
2018/4/8,良,79,206,39
2018/4/9,良,76,142,44
2018/4/10,良,53,26,26
2018/4/11,优,49,34,26
2018/4/12,优,40,14,23
2018/4/13,优,28,10,16
2018/4/14,优,27,10,16
2018/4/15,优,29,17,18
2018/4/16,优,35,6,22
2018/4/17,良,54,23,32
2018/4/18,良,64,52,35
2018/4/19,良,65,71,34
2018/4/20,良,58,71,26
2018/4/21,优,49,59,23
2018/4/22,优,45,100,27
2018/4/23,优,31,18,18
2018/4/24,优,36,49,23
2018/4/25,优,45,64,28
2018/4/26,良,55,86,36
2018/4/27,良,63,116,44
2018/4/28,良,62,90,36
2018/4/29,优,50,37,30
2018/4/30,优,44,39,27
2018/5/1,优,29,9,17
2018/5/2,优,33,11,20
2018/5/3,良,57,112,29
2018/5/4,良,63,123,19
2018/5/5,良,52,110,17
2018/5/6,优,33,24,12
2018/5/7,优,22,1,10
2018/5/8,优,31,10,15
2018/5/9,优,41,44,18
2018/5/10,良,62,139,19
2018/5/11,优,50,79,21
2018/5/12,优,40,22,19
2018/5/13,优,34,12,18
2018/5/14,优,30,9,17
2018/5/15,优,25,4,13
2018/5/16,优,26,8,12
2018/5/17,优,26,6,13
2018/5/18,优,29,6,16
2018/5/19,优,30,7,17
2018/5/20,优,27,6,14
2018/5/21,优,27,15,15
2018/5/22,优,28,13,14
2018/5/23,良,58,119,23
2018/5/24,优,38,21,17
2018/5/25,优,22,1,9
2018/5/26,优,24,4,12
2018/5/27,优,30,9,16
2018/5/28,良,82,191,33
2018/5/29,良,54,97,20
2018/5/30,优,32,25,16
2018/5/31,优,31,24,13
2018/6/1,优,35,26,17
2018/6/2,良,52,89,18
2018/6/3,良,63,121,22
2018/6/4,优,39,36,19
2018/6/5,优,25,4,10
2018/6/6,优,18,4,6
2018/6/7,优,27,24,7
2018/6/8,优,26,24,8
2018/6/9,优,34,43,15
2018/6/10,优,46,78,25
2018/6/11,良,86,292,36
2018/6/12,良,56,120,31
2018/6/13,优,47,104,23
2018/6/14,优,41,66,26
2018/6/15,优,37,33,23
2018/6/16,优,46,76,20
2018/6/17,优,50,110,25
2018/6/18,良,52,129,28
2018/6/19,优,31,13,17
2018/6/20,优,39,82,21
2018/6/21,优,38,74,23
2018/6/22,优,32,34,20
2018/6/23,优,28,35,17
2018/6/24,优,25,17,14
2018/6/25,优,26,37,15
2018/6/26,优,28,48,18
2018/6/27,优,29,47,18
2018/6/28,优,35,72,21
2018/6/29,优,37,62,22
2018/6/30,优,32,44,19
2018/7/1,优,32,51,19
2018/7/2,优,34,58,20
2018/7/3,优,34,79,20
2018/7/4,优,34,72,19
2018/7/5,优,31,46,18
2018/7/6,优,33,90,19
2018/7/7,优,33,113,21
2018/7/8,优,31,88,19
2018/7/9,优,27,54,15
2018/7/10,优,32,101,19
2018/7/11,优,49,198,27
2018/7/12,优,26,32,16
2018/7/13,优,21,15,13
2018/7/14,优,24,34,14
2018/7/15,优,24,29,14
2018/7/16,优,27,50,17
2018/7/17,优,42,155,23
2018/7/18,优,29,47,17
2018/7/19,优,29,52,16
2018/7/20,优,27,24,15
2018/7/21,优,41,75,22
2018/7/22,优,33,54,20
2018/7/23,优,34,58,19
2018/7/24,优,38,97,21
2018/7/25,优,38,90,22
2018/7/26,优,34,64,21
2018/7/27,优,29,32,18
2018/7/28,优,28,28,18
2018/7/29,优,30,36,19
2018/7/30,优,32,47,20
2018/7/31,优,37,86,21
2018/8/1,优,30,34,17
2018/8/2,优,31,43,19
2018/8/3,优,34,74,21
2018/8/4,优,35,65,22
2018/8/5,优,37,73,23
2018/8/6,优,44,119,28
2018/8/7,优,43,116,28
2018/8/8,优,39,72,25
2018/8/9,优,33,19,21
2018/8/10,优,23,8,14
2018/8/11,优,23,11,15
2018/8/12,优,25,10,17
2018/8/13,优,29,34,18
2018/8/14,优,29,51,18
2018/8/15,优,33,73,20
2018/8/16,优,29,21,19
2018/8/17,优,27,27,17
2018/8/18,优,34,60,21
2018/8/19,优,37,109,23
2018/8/20,良,62,291,40
2018/8/21,良,62,258,36
2018/8/22,良,79,337,35
2018/8/23,良,73,294,37
2018/8/25,良,93,311,45
2018/8/27,优,50,156,30
2018/8/29,优,25,17,15
2018/8/31,优,40,155,23
2018/9/2,优,25,28,14
2018/9/3,优,32,62,19
2018/9/4,优,38,117,21
2018/9/5,优,48,170,26
2018/9/6,优,46,147,28
2018/9/7,优,44,190,29
2018/9/8,优,46,205,29
2018/9/9,良,51,195,33
2018/9/10,优,38,66,22
2018/9/11,良,59,234,35
2018/9/12,优,48,162,28
2018/9/13,优,30,43,16
2018/9/14,优,45,141,26
2018/9/15,优,41,145,25
2018/9/16,优,30,78,16
2018/9/17,优,37,165,20
2018/9/18,优,28,88,16
2018/9/19,优,49,231,27
2018/9/20,良,51,236,33
2018/9/21,优,36,70,22
2018/9/22,优,40,120,24
2018/9/23,优,29,58,18
2018/9/24,优,38,128,24
2018/9/25,优,46,188,29
2018/9/26,优,49,240,28
2018/9/27,优,47,194,28
2018/9/28,良,55,237,37
2018/9/29,良,54,202,34
2018/9/30,良,58,204,34
2018/10/1,良,63,298,38
2018/10/2,良,65,264,36
2018/10/3,良,67,214,35
2018/10/4,良,65,181,35
2018/10/5,良,67,204,35
2018/10/6,良,69,215,36
2018/10/7,良,73,222,41
2018/10/8,良,67,205,36
2018/10/9,良,55,178,34
2018/10/10,良,71,342,51
2018/10/11,优,40,109,26
2018/10/12,优,46,97,29
2018/10/13,优,50,106,28
2018/10/14,优,43,104,23
2018/10/15,优,42,135,23
2018/10/16,优,38,104,25
2018/10/17,优,34,75,21
2018/10/18,优,31,34,20
2018/10/19,优,48,148,29
2018/10/20,优,45,123,27
2018/10/21,优,46,126,26
2018/10/22,优,45,124,27
2018/10/23,优,48,145,30
2018/10/24,优,48,116,28
2018/10/25,优,49,100,31
2018/10/26,良,65,261,45
2018/10/27,优,47,115,28
2018/10/28,良,55,152,29
2018/10/29,良,59,205,34
2018/10/30,良,56,152,30
2018/10/31,良,54,120,28
2018/11/1,良,55,115,29
2018/11/2,良,55,114,37
2018/11/3,优,43,67,25
2018/11/4,优,44,106,26
2018/11/5,优,39,85,24
2018/11/6,优,37,134,21
2018/11/7,优,46,193,27
2018/11/8,良,61,270,42
2018/11/9,优,48,143,29
2018/11/10,良,51,118,33
2018/11/11,优,49,111,33
2018/11/12,良,63,200,43
2018/11/13,优,48,124,30
2018/11/14,优,41,63,25
2018/11/15,优,43,105,23
2018/11/16,优,44,224,25
2018/11/17,优,49,234,30
2018/11/18,优,36,119,21
2018/11/19,优,41,112,22
2018/11/20,优,45,114,23
2018/11/21,优,48,157,27
2018/11/22,优,45,112,27
2018/11/23,良,57,124,36
2018/11/24,良,58,91,38
2018/11/25,良,57,70,39
2018/11/26,优,35,22,22
2018/11/27,良,56,69,38
2018/11/28,良,55,64,38
2018/11/29,良,57,71,37
2018/11/30,良,52,56,32
2018/12/1,良,56,76,36
2018/12/2,良,52,68,30
2018/12/3,优,48,60,29
2018/12/4,优,49,143,27
2018/12/5,良,53,143,30
2018/12/6,优,45,170,25
2018/12/7,良,56,291,37
2018/12/8,优,34,122,19
2018/12/9,优,33,96,18
2018/12/10,优,39,130,19
2018/12/11,优,40,109,21
2018/12/12,优,37,64,19
2018/12/13,优,46,71,28
2018/12/14,优,49,83,30
2018/12/15,良,57,108,37
2018/12/16,良,59,118,40
2018/12/17,优,45,49,25
2018/12/18,良,55,81,33
2018/12/19,良,58,83,31
2018/12/20,良,57,80,32
2018/12/21,优,48,64,31
2018/12/28,优,41,127,24
2018/12/29,优,36,82,21
2018/12/30,良,54,158,36
2018/12/31,优,49,108,33
