City,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,34,11,24,0.9,19,64,67,7
阿克苏地区,171,82,290,0.9,35,48,28,14
阿拉善盟,113,84,106,0.87,27,74,71,19
阿勒泰地区,25,5,14,1.15,7,40,48,18
阿里地区,0,0,0,0.0,0,0,64,0
安康,133,101,143,1.27,58,11,23,16
安庆,100,75,31,0.83,35,40,44,7
鞍山,71,51,84,1.67,62,18,38,23
安顺,76,55,72,0.8,27,38,50,62
安阳,179,135,159,1.28,49,59,49,21
白城,59,41,63,0.8,54,25,61,18
百色,50,29,49,0.85,20,45,45,12
白山,67,45,81,1.9,38,19,37,32
白银,128,97,103,1.55,47,66,74,35
保定,269,218,278,3.08,113,4,10,47
宝鸡,292,241,257,1.94,77,62,50,11
保山,36,9,27,0.4,12,79,71,5
包头,115,86,144,1.42,66,15,24,45
巴彦淖尔,133,101,160,1.4,54,20,33,34
巴中,60,42,61,0.83,21,38,28,3
北海,48,30,47,0.83,17,52,52,7
北京,86,63,88,1.09,69,6,23,12
蚌埠,110,82,118,0.8,39,64,69,15
本溪,86,63,95,1.53,54,21,33,27
毕节,71,51,76,1.15,46,21,25,29
滨州,71,51,66,1.2,67,24,50,18
博州,76,55,93,0.75,14,43,40,14
亳州,114,85,105,1.0,41,57,62,12
沧州,105,78,125,1.33,64,22,40,40
长春,85,62,74,1.12,57,21,37,31
常德,103,76,0,0.86,23,54,48,7
昌都,47,16,34,1.0,93,46,42,3
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,223,137,365,2.85,37,48,43,23
长沙,109,81,0,1.01,38,31,33,4
常熟,168,127,140,1.2,57,47,51,18
长治,69,49,78,1.08,33,82,67,30
常州,120,90,117,1.25,67,19,27,18
朝阳,78,57,76,1.53,57,22,47,35
潮州,39,22,38,1.0,20,17,24,11
承德,58,28,64,1.2,55,15,39,19
成都,81,59,88,0.88,44,35,39,8
郴州,53,36,48,1.2,24,25,27,4
赤峰,65,44,77,1.13,70,11,26,45
池州,98,73,74,0.67,44,27,27,14
重庆,70,50,72,0.81,50,26,22,6
崇左,48,33,40,1.0,15,69,62,5
楚雄州,26,7,19,0.7,7,48,51,8
滁州,111,83,114,1.17,76,36,57,18
大连,53,33,53,0.86,55,31,46,29
大理州,39,7,36,0.45,23,69,77,5
丹东,67,48,66,1.53,55,25,51,39
大庆,53,22,53,1.83,38,30,46,11
大同,103,76,125,1.72,61,12,19,45
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,39,27,38,0.75,29,41,57,21
达州,114,85,109,0.9,27,53,50,5
德宏州,48,13,47,0.45,13,76,58,6
德阳,97,72,94,0.93,33,21,16,4
德州,172,130,202,1.8,100,6,28,40
定西,76,55,76,0.8,36,48,63,16
迪庆州,41,7,17,0.6,6,81,80,7
东莞,40,26,39,1.14,42,6,22,7
东营,83,61,92,0.95,80,22,46,21
鄂尔多斯,120,90,156,1.5,64,43,41,30
恩施州,61,39,69,0.5,32,17,20,4
鄂州,59,41,66,0.87,45,23,29,8
防城港,46,29,45,0.8,24,49,49,8
佛山,33,21,32,0.91,39,6,13,5
抚顺,93,69,92,1.53,70,17,32,31
阜新,72,52,78,0.84,44,34,57,70
阜阳,113,84,102,0.9,35,53,67,11
富阳,100,75,114,0.9,36,14,18,2
福州,38,17,37,0.8,31,38,43,4
抚州,40,28,38,0.75,20,28,34,5
甘南州,41,6,18,0.7,1,100,81,7
赣州,40,28,35,1.18,25,24,29,9
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,32,11,23,0.5,25,62,62,4
广安,75,54,76,0.82,33,45,31,7
广元,81,59,87,1.6,47,5,9,10
广州,25,17,24,0.86,36,7,15,3
贵港,34,23,33,0.75,15,56,52,7
桂林,47,32,46,0.85,16,54,53,8
贵阳,58,36,63,0.61,36,37,51,23
果洛州,50,8,11,0.1,0,120,99,6
固原,63,44,67,1.17,27,56,63,11
哈尔滨,71,50,89,0.91,51,29,42,40
海北州,43,3,10,0.5,11,88,85,11
海东地区,30,15,23,0.8,19,64,58,11
海口,66,47,47,0.88,13,50,41,7
海门,70,50,75,0.93,20,65,65,11
海南州,35,8,15,0.6,8,73,69,11
海西州,49,14,48,1.4,30,59,67,27
哈密地区,74,53,91,1.1,24,34,29,16
邯郸,212,161,235,1.6,69,34,38,29
杭州,108,80,112,1.07,66,9,20,9
汉中,110,82,89,1.3,33,30,23,8
鹤壁,139,106,151,0.8,48,60,52,35
河池,29,20,27,0.6,10,58,54,7
合肥,106,79,96,0.98,60,25,31,10
鹤岗,40,23,38,0.57,13,71,78,8
黑河,38,19,37,0.7,23,51,69,19
衡水,211,160,238,2.0,91,9,28,40
衡阳,77,56,75,0.77,33,20,24,11
和田地区,150,79,247,0.65,26,55,36,19
河源,26,16,25,0.83,24,25,32,6
菏泽,153,116,171,1.0,55,61,72,15
贺州,30,21,28,0.65,8,37,37,11
红河州,42,28,41,0.63,12,45,45,9
淮安,193,145,170,1.38,64,49,63,15
淮北,174,131,163,1.17,73,35,55,25
怀化,96,71,75,0.77,15,57,63,5
淮南,103,76,108,0.77,34,57,67,13
黄冈,55,34,57,0.65,21,45,50,1
黄南州,24,9,23,1.1,35,43,47,24
黄山,72,52,59,0.8,35,49,44,15
黄石,61,43,65,0.84,42,30,30,8
呼和浩特,103,76,116,1.66,72,24,30,38
惠州,48,26,47,0.88,28,26,31,8
葫芦岛,50,35,31,1.23,45,37,50,35
呼伦贝尔,55,29,58,0.9,38,14,34,8
湖州,111,83,105,1.27,64,41,43,19
佳木斯,48,33,37,0.72,26,39,58,9
吉安,56,32,60,1.13,24,28,30,11
江门,40,26,39,0.93,38,6,16,4
江阴,131,99,125,1.13,48,41,47,18
胶南,121,91,151,1.25,76,45,54,23
胶州,138,105,141,1.8,110,17,57,55
焦作,174,131,176,1.05,62,68,76,12
嘉兴,124,93,134,1.13,64,18,31,8
嘉峪关,143,109,156,1.25,58,75,57,12
揭阳,59,41,65,1.2,37,9,23,12
吉林,63,44,71,1.23,45,38,54,24
即墨,142,108,156,1.3,98,11,39,29
济南,157,119,198,1.61,107,9,26,54
金昌,76,53,99,1.07,28,54,48,26
晋城,135,102,176,0.94,40,111,92,24
景德镇,33,20,32,0.7,16,17,20,5
荆门,122,92,138,1.04,37,52,47,8
荆州,114,85,145,1.13,48,24,26,23
金华,45,31,37,0.77,51,7,15,4
济宁,211,160,192,1.43,98,14,42,30
金坛,130,98,133,1.65,72,25,45,27
晋中,115,86,121,1.75,88,26,32,50
锦州,54,31,56,0.8,47,31,52,45
九江,87,64,55,0.63,27,23,37,10
酒泉,136,103,182,1.2,31,101,78,14
鸡西,32,18,31,0.43,28,43,51,9
句容,167,126,158,1.5,57,44,49,16
开封,164,124,137,1.25,56,56,72,18
喀什地区,187,116,322,1.45,44,47,28,11
克拉玛依,75,54,92,0.9,29,54,44,7
克州,150,78,249,1.0,4,46,33,5
库尔勒,200,138,348,1.3,25,61,52,11
昆明,27,11,25,0.79,21,52,53,9
昆山,91,67,100,0.95,41,59,54,13
来宾,49,34,46,0.85,21,56,54,14
莱芜,171,129,177,2.4,90,12,26,62
莱西,75,54,78,1.15,51,47,58,20
莱州,109,81,114,2.15,93,30,51,33
廊坊,164,124,174,1.67,92,6,28,43
兰州,136,103,145,2.8,105,21,39,39
拉萨,38,11,21,0.57,15,85,75,5
乐山,109,81,108,1.0,39,31,27,10
凉山州,35,19,33,0.74,21,76,68,13
连云港,160,121,128,1.65,85,18,39,40
聊城,216,165,246,1.57,98,21,44,35
辽阳,62,43,72,0.98,45,24,43,21
辽源,41,28,40,0.9,25,46,61,14
丽江,40,14,39,0.8,13,76,69,6
临安,100,75,99,1.3,33,2,8,1
临沧,37,20,36,0.6,6,66,57,10
临汾,121,91,123,1.63,50,70,50,45
临夏州,93,69,133,2.0,51,53,59,50
临沂,214,163,242,1.98,103,14,27,90
林芝,37,8,27,0.25,4,83,72,3
林芝地区,18,4,16,0.35,6,51,35,3
丽水,53,36,40,0.9,37,10,19,5
六盘水,53,36,51,1.05,18,19,32,13
柳州,32,15,31,0.88,12,47,48,5
溧阳,136,103,142,1.65,72,23,46,17
陇南,42,29,40,0.5,11,60,52,5
龙岩,29,16,28,0.65,20,35,43,9
娄底,69,49,68,1.13,27,46,42,3
六安,110,82,120,0.9,57,35,34,10
漯河,125,94,116,0.7,32,90,77,17
洛阳,257,206,256,1.77,110,10,23,27
泸州,69,49,61,0.65,32,39,32,16
吕梁,133,101,213,1.65,103,17,25,345
马鞍山,105,78,95,0.98,52,37,47,17
茂名,53,29,53,0.8,19,44,42,22
眉山,97,72,102,1.2,47,24,33,9
梅州,49,20,48,1.07,35,9,16,6
绵阳,72,52,65,0.95,26,25,22,4
牡丹江,52,33,52,0.6,23,39,54,3
南昌,60,42,55,0.9,37,18,28,4
南充,100,75,91,0.93,22,52,44,4
南京,113,84,140,1.49,83,15,31,26
南宁,48,31,47,0.74,29,49,53,10
南平,20,13,19,0.75,16,26,27,6
南通,115,86,94,0.74,33,71,69,16
南阳,133,101,121,1.04,35,68,74,6
那曲地区,30,13,13,0.9,7,66,58,4
内江,67,48,61,1.0,34,48,35,8
宁波,103,76,100,1.1,65,16,17,9
宁德,25,15,24,0.57,13,45,39,4
怒江州,61,22,70,0.9,27,52,48,4
盘锦,55,31,57,0.83,43,29,58,31
攀枝花,35,20,34,0.6,35,67,54,23
蓬莱,89,66,85,1.55,80,25,48,17
平顶山,149,114,134,1.02,39,65,61,19
平度,131,99,138,1.7,78,24,49,37
平凉,188,141,184,0.8,54,57,72,14
萍乡,65,46,62,2.22,26,11,18,9
普洱,28,10,14,0.65,11,56,55,2
莆田,26,10,22,0.72,21,49,51,5
濮阳,158,120,134,1.33,64,57,67,20
黔东南州,60,42,49,0.55,33,47,59,36
黔南州,43,30,35,0.4,13,39,51,16
黔西南州,48,33,40,0.95,17,24,22,2
青岛,122,92,141,1.49,93,13,37,20
庆阳,141,107,128,1.2,35,66,65,19
清远,19,13,18,0.9,19,16,23,4
秦皇岛,55,38,52,1.1,47,33,46,24
钦州,38,19,37,0.73,15,55,55,11
齐齐哈尔,58,31,63,1.04,34,30,47,17
七台河,49,33,48,0.5,31,54,51,5
泉州,28,11,27,0.43,17,47,54,6
曲靖,47,17,46,0.45,16,66,57,8
衢州,38,26,32,0.8,45,20,23,5
日喀则,34,7,14,0.65,10,70,66,9
日喀则地区,29,6,27,0.35,2,68,56,5
日照,167,126,201,1.83,100,5,38,35
荣成,59,34,66,1.2,37,54,65,11
乳山,65,40,77,1.55,62,32,66,11
三门峡,212,161,189,1.33,41,63,54,15
三明,26,18,24,0.73,19,9,12,7
三沙,30,7,20,0.3,30,51,58,6
三亚,34,12,19,0.85,12,68,66,3
上海,86,63,77,0.81,42,65,63,11
商洛,82,60,69,0.95,31,52,49,12
商丘,154,117,134,1.1,63,49,63,19
上饶,48,33,46,1.3,37,8,17,4
山南,37,7,21,0.45,8,76,73,2
山南地区,40,5,21,0.45,6,65,79,4
汕头,57,28,61,0.85,34,44,44,10
汕尾,44,25,43,0.8,19,28,31,7
韶关,23,15,22,0.88,22,19,23,8
绍兴,106,79,149,0.87,71,27,30,8
邵阳,82,60,53,1.0,23,41,51,15
沈阳,64,41,76,1.08,59,16,28,25
深圳,51,30,50,0.82,38,26,32,7
石河子,212,161,230,1.45,34,44,37,28
石家庄,235,184,263,2.36,107,8,13,47
十堰,133,101,140,1.05,47,50,56,16
石嘴山,150,115,226,2.1,66,17,38,122
寿光,100,75,130,1.8,78,15,27,31
双鸭山,46,32,42,0.45,22,51,65,6
朔州,150,115,181,1.82,66,15,25,98
四平,52,25,51,1.17,45,26,46,12
松原,43,18,42,0.65,14,30,44,6
绥化,65,46,56,0.85,11,43,47,4
遂宁,65,46,56,0.85,29,41,34,8
随州,78,57,76,0.97,26,73,78,8
宿迁,125,94,154,1.5,80,23,38,21
苏州,117,88,114,0.95,62,31,34,14
宿州,132,100,147,1.23,77,38,62,26
塔城地区,54,15,55,0.6,14,97,84,5
泰安,181,136,189,2.07,100,21,38,54
太仓,108,80,99,0.9,35,76,72,13
太原,198,148,237,2.67,107,6,21,86
台州,64,45,65,0.8,43,17,33,6
泰州,142,108,141,1.18,46,60,56,18
唐山,67,47,82,0.83,59,17,34,15
天津,104,77,112,1.47,81,15,28,29
天水,41,26,40,0.7,16,48,47,14
铁岭,72,52,57,0.6,58,20,35,24
铜川,211,160,190,2.6,83,38,54,45
通化,49,32,48,0.8,63,8,28,51
通辽,45,23,44,0.8,48,21,46,12
铜陵,111,83,108,1.07,41,38,42,11
铜仁地区,128,97,117,1.6,26,53,49,4
吐鲁番地区,500,151,666,3.55,53,18,21,28
瓦房店,48,33,43,0.45,32,47,57,25
潍坊,104,77,125,1.46,87,17,37,35
威海,69,49,80,1.0,43,42,51,12
渭南,237,186,236,2.0,81,27,34,25
文登,59,29,66,1.3,56,43,66,12
文山州,29,17,28,0.75,17,27,24,5
温州,57,33,62,0.75,49,9,19,6
乌海,103,76,137,1.37,54,18,26,26
武汉,93,69,77,1.1,67,10,14,6
芜湖,114,85,100,1.18,49,43,49,16
吴江,141,107,141,1.27,87,21,34,17
五家渠,179,135,300,1.4,25,47,38,6
乌兰察布,106,79,113,3.35,69,16,22,54
乌鲁木齐,241,190,269,2.67,61,28,24,9
武威,92,68,126,1.15,35,48,54,24
无锡,105,78,126,1.24,61,31,34,18
吴忠,117,88,100,0.5,46,44,36,20
梧州,41,25,40,1.05,26,28,31,8
厦门,32,13,24,0.57,22,86,62,3
西安,269,218,255,2.14,89,23,26,19
湘潭,122,92,101,0.84,32,36,39,11
湘西州,91,67,84,0.67,28,27,38,2
襄阳,179,135,183,1.1,50,46,41,17
咸宁,71,51,54,1.15,26,16,24,8
咸阳,225,174,173,2.13,79,32,39,24
孝感,77,51,101,0.8,37,31,37,6
锡林郭勒盟,27,7,24,0.3,28,35,52,17
兴安盟,72,52,87,0.97,53,12,46,20
邢台,248,197,264,1.75,95,27,22,36
西宁,55,38,58,1.33,72,34,49,29
新乡,161,122,174,1.23,65,75,68,17
信阳,119,89,110,0.83,31,66,70,8
新余,41,27,40,0.76,34,25,33,10
忻州,100,75,98,1.87,82,5,13,108
西双版纳州,19,8,14,0.6,12,38,36,7
宣城,127,96,0,0.93,68,36,48,11
许昌,100,75,79,1.0,39,68,64,14
徐州,170,128,183,1.31,76,29,49,30
雅安,116,87,110,1.05,19,46,53,15
延安,100,75,106,1.75,75,39,43,35
延边州,48,18,47,0.47,19,54,61,14
盐城,137,104,146,1.3,66,50,68,17
阳江,42,22,41,1.1,28,13,19,4
阳泉,161,122,171,2.33,91,11,19,65
扬州,131,99,153,0.98,50,48,52,12
烟台,111,83,109,1.27,72,17,42,18
宜宾,92,68,91,0.98,38,43,37,17
宜昌,170,128,149,1.16,63,26,29,11
宜春,48,33,46,1.51,31,25,27,12
伊春,31,16,27,0.3,8,61,61,4
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,114,85,85,1.3,28,39,28,39
银川,88,65,123,1.46,47,42,43,41
营口,44,26,43,0.6,44,34,55,14
鹰潭,23,16,19,0.48,23,11,13,6
义乌,32,0,0,1.4,63,10,18,0
宜兴,91,67,85,1.45,48,38,37,24
益阳,153,116,124,1.6,31,48,53,7
永州,54,37,51,0.75,27,42,45,6
岳阳,78,57,85,0.93,37,22,28,8
玉林,47,31,46,1.0,17,32,34,6
榆林,77,56,91,1.21,65,31,40,29
运城,113,84,127,1.3,30,84,70,14
云浮,45,31,44,0.9,29,5,10,11
玉树州,34,0,8,0.4,7,76,67,4
玉溪,27,9,19,0.73,12,69,53,6
枣庄,225,174,257,1.72,103,14,38,53
张家港,156,118,138,1.1,47,59,52,11
张家界,88,65,102,1.13,30,55,59,7
张家口,91,67,122,1.38,62,11,32,24
章丘,132,100,175,1.7,93,6,28,51
张掖,69,49,82,0.6,20,76,56,13
漳州,43,12,42,0.63,35,43,49,4
湛江,65,46,60,0.78,22,39,42,13
肇庆,18,11,17,0.65,22,18,26,5
昭通,68,48,83,1.0,41,46,38,27
招远,60,42,68,1.35,67,36,54,13
郑州,167,126,162,1.08,65,53,61,22
镇江,175,132,147,1.18,65,34,46,19
中山,49,31,48,0.93,45,4,13,5
中卫,132,100,134,1.47,56,39,38,29
周口,132,100,135,0.9,43,62,67,20
舟山,54,36,56,0.67,23,63,61,5
珠海,48,33,47,0.9,57,20,26,7
诸暨,82,60,66,1.2,66,1,25,3
驻马店,126,95,118,0.8,36,58,73,14
株洲,119,89,100,0.89,50,13,24,7
淄博,127,96,152,1.46,82,25,44,42
自贡,93,69,89,0.88,33,33,27,8
资阳,66,47,70,0.78,30,53,50,5
遵义,49,33,48,0.73,30,39,37,23
